Sample,Sample_Num,RMSE_Overall,RMSE_Per_Pixel_Mean,RMSE_Per_Pixel_Median,RMSE_Per_Pixel_P95,SAM_Mean,SAM_Median,SAM_P95,Uniformity_Score
Defect1,1,0.060906,0.049906,0.038058,0.111272,2.62,1.94,5.53,0.855
Defect2,2,0.087458,0.077512,0.082343,0.138029,3.43,3.3,6.25,0.883
Defect3,3,0.046133,0.045491,0.044196,0.059024,4.13,4.12,4.91,0.969
Defect4,4,0.026596,0.025141,0.023508,0.041476,1.76,1.7,2.53,0.929
Defect5,5,0.110149,0.109216,0.109756,0.130256,4.99,5.0,6.07,0.938
Defect6,6,0.102662,0.06202,0.04053,0.296598,2.75,2.34,7.18,0.728
Defect7,7,0.095903,0.069552,0.047932,0.26058,3.23,2.43,10.39,0.486
Defect8,8,0.088751,0.05132,0.03566,0.083555,2.59,2.35,4.18,0.881
Defect9,9,0.083568,0.05804,0.0376,0.218015,3.06,2.32,8.98,0.911
Defect10,10,0.105874,0.075194,0.043231,0.255477,3.78,2.64,10.17,0.814
Defect11,11,0.069793,0.05895,0.046158,0.13103,2.92,2.54,5.85,0.21
Defect12,12,0.073297,0.062178,0.048684,0.13451,3.03,2.56,6.17,0.018
Defect13,13,0.176938,0.134048,0.053691,0.299386,5.77,3.06,11.64,0.01
Defect14,14,0.034079,0.032433,0.031043,0.051912,2.4,2.38,3.35,0.904
